step,fmin,action,fnum,fmean,fstd,fmin,fmax
43,0.2714342393928908,update_method,6,0.7002149186262248,0.20573905752857333,0.2714342393928908,0.8933855556477495
44,0.4258068311768013,update_method,6,0.7259436839235431,0.15353960951926912,0.4258068311768013,0.8933855556477495
45,0.06017132598720565,call_method,6,0.5994580364234628,0.2828522124523572,0.06017132598720565,0.8933855556477495
46,0.015976879103621777,update_method,6,0.5920922952761989,0.29702043267913714,0.015976879103621777,0.8933855556477495
47,0.4258068311768013,update_method,6,0.7421459531242179,0.16704845859239675,0.4258068311768013,0.9162988261917356
48,0.2811317598678569,update_method,6,0.7180334412393939,0.2146339100427945,0.2811317598678569,0.9162988261917356
49,0.28910801905984973,update_method,6,0.7193628177713927,0.21193144614725126,0.28910801905984973,0.9162988261917356
50,0.023394925975851355,call_method,6,0.5839116473886307,0.32407581203277747,0.023394925975851355,0.9162988261917356
51,0.03075508563285201,update_method,6,0.5851383406647973,0.32195883531905267,0.03075508563285201,0.9162988261917356
52,0.021021087206588684,remove_method,5,0.47588432860185703,0.35419116090093244,0.021021087206588684,0.8933855556477495
53,0.08373244269834978,update_method,5,0.5554514252813102,0.2799835262087513,0.08373244269834978,0.8933855556477495
54,0.4188565706038545,update_method,5,0.7173706068675773,0.17464637761337498,0.4188565706038545,0.8933855556477495
55,0.4188565706038545,create_method,6,0.758823818326177,0.1844170311523627,0.4188565706038545,0.9660898756191749
56,0.4188565706038545,call_method,6,0.7202182107737202,0.15955670439666905,0.4188565706038545,0.8933855556477495
57,0.06647900136923346,call_method,6,0.6614886159012833,0.27946710461495716,0.06647900136923346,0.8933855556477495
58,0.5637992002145855,remove_method,5,0.7145847087246733,0.10608705666418358,0.5637992002145855,0.8933855556477495
59,0.6211355443799568,call_method,5,0.7260519775577476,0.0912264253667528,0.6211355443799568,0.8933855556477495
